2021-01-26 at 14:09:25 | INFO | Sending PUBLISH (d0, q0, r0, m33), 'b'top_5'', ... (2 bytes)
2021-01-26 at 14:09:25 | INFO | mid: 33
2021-01-26 at 14:09:25 | INFO | Sending PUBLISH (d0, q0, r0, m34), 'b'top_6'', ... (2 bytes)
2021-01-26 at 14:09:25 | INFO | mid: 34
2021-01-26 at 14:09:25 | INFO | Sending PUBLISH (d0, q0, r0, m35), 'b'top_7'', ... (6 bytes)
2021-01-26 at 14:09:25 | INFO | mid: 35
2021-01-26 at 14:09:25 | INFO | Sending PUBLISH (d0, q0, r0, m36), 'b'top_8'', ... (8 bytes)
2021-01-26 at 14:09:25 | INFO | mid: 36
2021-01-26 at 14:09:25 | INFO | Sending PUBLISH (d0, q0, r0, m37), 'b'top_9'', ... (8 bytes)
2021-01-26 at 14:09:25 | INFO | mid: 37
2021-01-26 at 14:09:25 | INFO | Sending PUBLISH (d0, q0, r0, m38), 'b'top_10'', ... (8 bytes)
2021-01-26 at 14:09:25 | INFO | mid: 38
2021-01-26 at 14:09:25 | INFO | Sending PUBLISH (d0, q0, r0, m39), 'b'top_11'', ... (8 bytes)
2021-01-26 at 14:09:25 | INFO | mid: 39
2021-01-26 at 14:09:25 | INFO | Sending PUBLISH (d0, q0, r0, m40), 'b'top_12'', ... (8 bytes)
2021-01-26 at 14:09:25 | INFO | mid: 40
2021-01-26 at 14:09:25 | INFO | Sending PUBLISH (d0, q0, r0, m41), 'b'top_13'', ... (8 bytes)
2021-01-26 at 14:09:25 | INFO | mid: 41
2021-01-26 at 14:09:25 | INFO | Sending PUBLISH (d0, q0, r0, m42), 'b'top_14'', ... (6 bytes)
2021-01-26 at 14:09:25 | INFO | mid: 42
2021-01-26 at 14:09:31 | INFO | Data Base is ready to use
2021-01-26 at 14:09:31 | INFO | exit from DB
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m43), 'b'top_1'', ... (2 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 43
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m44), 'b'top_2'', ... (2 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 44
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m45), 'b'top_3'', ... (2 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 45
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m46), 'b'top_4'', ... (2 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 46
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m47), 'b'top_5'', ... (2 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 47
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m48), 'b'top_6'', ... (2 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 48
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m49), 'b'top_7'', ... (6 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 49
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m50), 'b'top_8'', ... (8 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 50
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m51), 'b'top_9'', ... (6 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 51
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m52), 'b'top_10'', ... (6 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 52
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m53), 'b'top_11'', ... (6 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 53
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m54), 'b'top_12'', ... (6 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 54
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m55), 'b'top_13'', ... (6 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 55
2021-01-26 at 14:09:31 | INFO | Sending PUBLISH (d0, q0, r0, m56), 'b'top_14'', ... (8 bytes)
2021-01-26 at 14:09:31 | INFO | mid: 56
2021-01-26 at 14:09:36 | INFO | Data Base is ready to use
2021-01-26 at 14:09:37 | INFO | exit from DB
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m57), 'b'top_1'', ... (2 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 57
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m58), 'b'top_2'', ... (2 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 58
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m59), 'b'top_3'', ... (2 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 59
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m60), 'b'top_4'', ... (2 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 60
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m61), 'b'top_5'', ... (2 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 61
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m62), 'b'top_6'', ... (2 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 62
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m63), 'b'top_7'', ... (6 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 63
2021-01-26 at 14:09:37 | INFO | Sending PUBLISH (d0, q0, r0, m64), 'b'top_8'', ... (6 bytes)
2021-01-26 at 14:09:37 | INFO | mid: 64
